,product_price,shipping_cost,assembly_cost,delivery_window_days,customer_rating,product_category,product_subcategory,brand,assembly_service_requested,payment_method,payment_timing,delivery_status
472,943.26,122.02,0.0,10.0,3.3,Office,Work,Premium,False,Bank Transfer,Prepaid,Failed Delivery
608,1120.18,87.77,0.0,6.0,4.2,Outdoor,Seating,Mid Range,False,Bank Transfer,Prepaid,Failed Delivery
309,620.56,100.51,31.05,8.0,1.7,Dining Room,Seating,Premium,True,Digital Wallet,Prepaid,Failed Delivery
1801,671.68,0.0,55.84,6.0,2.7,Dining Room,Seating,Premium,True,Digital Wallet,Prepaid,On Going
199,413.38,53.29,29.7,13.0,3.7,Kitchen,Table,Mid Range,True,Card,Prepaid,Failed Delivery
1804,283.14,86.81,65.63,8.0,4.9,Dining Room,Seating,Affordable,True,Bank Transfer,Prepaid,Delivered
228,1451.32,51.05,0.0,4.0,3.1,Office,Storage,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
339,422.07,97.76,77.52,7.0,1.9,Office,Storage,Premium,True,Cash,Postpaid,Failed Delivery
24,1662.64,108.37,0.0,5.0,3.9,Kitchen,Table,Mid Range,False,Digital Wallet,Prepaid,Delivered
399,2799.68,76.11,0.0,9.0,3.1,Bedroom,Sleeping,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
116,247.97,49.36,0.0,14.0,2.4,Living Room,Seating,Affordable,False,Card,Prepaid,On Going
1054,820.69,0.0,0.0,3.0,2.7,Dining Room,Table,Mid Range,False,Card,Prepaid,Delivered
994,1459.96,128.35,0.0,4.0,3.3,Dining Room,Storage,Mid Range,False,Card,Prepaid,Failed Delivery
1617,1030.78,147.15,223.0,5.0,3.7,Living Room,Seating,Premium,True,Digital Wallet,Prepaid,Failed Delivery
1653,291.62,92.13,0.0,14.0,2.4,Living Room,Seating,Affordable,False,Cash,Postpaid,Failed Delivery
375,1345.84,135.72,225.17,2.0,3.0,Office,Work,Mid Range,True,Cash,Postpaid,On Going
1134,777.69,89.92,238.53,2.0,3.1,Outdoor,Seating,Premium,True,Digital Wallet,Prepaid,Failed Delivery
971,364.65,66.03,0.0,13.0,4.5,Dining Room,Table,Mid Range,False,Card,Prepaid,Failed Delivery
652,237.42,80.54,0.0,3.0,4.4,Living Room,Seating,Affordable,False,Digital Wallet,Prepaid,On Going
962,323.96,91.06,0.0,13.0,4.7,Outdoor,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
980,807.03,71.08,0.0,12.0,1.6,Bedroom,Storage,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1070,1526.48,58.26,270.53,1.0,1.5,Outdoor,Patio furniture,Premium,True,Bank Transfer,Prepaid,Failed Delivery
1867,861.66,129.12,0.0,3.0,2.5,Kitchen,Storage,Affordable,False,Digital Wallet,Prepaid,On Going
192,1264.91,92.41,0.0,14.0,2.8,Living Room,Storage,Premium,False,Card,Prepaid,Delivered
1874,566.9,0.0,39.49,14.0,2.5,Kitchen,Table,Affordable,True,Card,Prepaid,Failed Delivery
599,737.56,145.01,0.0,9.0,4.1,Outdoor,Seating,Mid Range,False,Digital Wallet,Prepaid,On Going
1624,654.02,0.0,0.0,4.0,3.1,Kitchen,Table,Affordable,False,Digital Wallet,Prepaid,On Going
1349,1786.53,0.0,28.34,14.0,3.7,Outdoor,Seating,Affordable,True,Bank Transfer,Prepaid,Delivered
1073,734.75,122.76,0.0,7.0,3.1,Kitchen,Storage,Affordable,False,Card,Prepaid,On Going
301,380.25,76.23,91.71,5.0,3.9,Living Room,Seating,Mid Range,True,Digital Wallet,Prepaid,On Going
1572,1629.35,56.53,159.45,10.0,3.5,Outdoor,Seating,Premium,True,Bank Transfer,Prepaid,Failed Delivery
1274,2115.57,149.58,233.84,12.0,1.9,Bedroom,Sleeping,Affordable,True,Digital Wallet,Prepaid,On Going
631,248.29,78.52,128.8,8.0,2.7,Office,Work,Mid Range,True,Card,Prepaid,Failed Delivery
1553,1836.42,66.51,0.0,14.0,3.6,Living Room,Seating,Affordable,False,Digital Wallet,Prepaid,On Going
1740,1698.8,0.0,194.72,3.0,3.2,Dining Room,Seating,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
493,1151.9,73.76,0.0,14.0,1.9,Living Room,Storage,Affordable,False,Card,Prepaid,On Going
334,316.28,55.02,0.0,5.0,3.8,Dining Room,Seating,Premium,False,Bank Transfer,Prepaid,Failed Delivery
1155,1853.8,145.93,171.05,8.0,4.1,Dining Room,Seating,Mid Range,True,Cash,Postpaid,Failed Delivery
1339,2322.01,0.0,0.0,5.0,1.2,Bedroom,Sleeping,Affordable,False,Card,Prepaid,On Going
1161,441.94,82.75,0.0,5.0,2.3,Living Room,Table,Mid Range,False,Digital Wallet,Prepaid,Delivered
949,1153.32,80.24,112.73,9.0,4.5,Office,Work,Affordable,True,Card,Prepaid,Failed Delivery
130,1037.89,146.96,0.0,13.0,2.8,Living Room,Seating,Premium,False,Digital Wallet,Prepaid,On Going
1701,631.11,128.79,91.49,4.0,1.4,Living Room,Seating,Premium,True,Card,Prepaid,On Going
235,1065.43,111.74,0.0,10.0,3.7,Kitchen,Table,Affordable,False,Card,Prepaid,On Going
1245,2838.51,91.63,163.15,6.0,3.7,Bedroom,Storage,Affordable,True,Card,Prepaid,Failed Delivery
1166,655.33,52.84,0.0,14.0,2.4,Dining Room,Table,Mid Range,False,Digital Wallet,Prepaid,Delivered
215,1032.15,144.11,0.0,3.0,3.6,Dining Room,Storage,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1414,730.94,0.0,35.69,14.0,1.6,Dining Room,Seating,Mid Range,True,Bank Transfer,Prepaid,Failed Delivery
1551,697.45,0.0,221.98,5.0,4.3,Living Room,Table,Affordable,True,Card,Prepaid,Failed Delivery
858,1988.9,0.0,217.0,13.0,2.9,Living Room,Table,Mid Range,True,Digital Wallet,Prepaid,On Going
868,781.59,0.0,221.61,11.0,4.3,Kitchen,Table,Premium,True,Cash,Postpaid,On Going
1388,369.39,41.36,41.3,12.0,3.1,Outdoor,Seating,Affordable,True,Digital Wallet,Prepaid,On Going
736,1204.52,68.78,0.0,4.0,4.4,Office,Storage,Affordable,False,Card,Prepaid,Delivered
1868,986.32,0.0,273.13,9.0,4.9,Kitchen,Storage,Mid Range,True,Card,Prepaid,Failed Delivery
112,951.34,77.32,142.99,5.0,3.4,Outdoor,Seating,Premium,True,Digital Wallet,Prepaid,Failed Delivery
634,572.77,0.0,33.32,4.0,2.4,Outdoor,Patio furniture,Mid Range,True,Cash,Postpaid,Failed Delivery
1778,2240.43,139.3,90.73,7.0,1.3,Kitchen,Table,Affordable,True,Card,Prepaid,Failed Delivery
1918,1141.13,131.4,0.0,14.0,1.6,Outdoor,Seating,Affordable,False,Digital Wallet,Prepaid,On Going
188,1356.42,55.56,218.52,1.0,3.7,Office,Work,Affordable,True,Card,Prepaid,Failed Delivery
539,1450.23,146.66,33.48,6.0,1.2,Office,Work,Mid Range,True,Cash,Postpaid,On Going
688,1578.82,107.2,0.0,9.0,3.6,Outdoor,Patio furniture,Mid Range,False,Digital Wallet,Prepaid,On Going
381,1182.34,61.83,271.68,12.0,3.1,Bedroom,Sleeping,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
1765,2588.29,0.0,92.53,2.0,1.7,Bedroom,Storage,Mid Range,True,Bank Transfer,Prepaid,Delivered
14,1712.3,73.85,0.0,4.0,4.0,Outdoor,Seating,Affordable,False,Bank Transfer,Prepaid,On Going
320,202.72,89.07,67.13,10.0,4.9,Dining Room,Storage,Premium,True,Cash,Postpaid,Delivered
1586,1056.77,100.34,0.0,9.0,3.6,Living Room,Seating,Affordable,False,Cash,Postpaid,On Going
1119,2054.44,94.01,0.0,2.0,3.1,Kitchen,Table,Premium,False,Bank Transfer,Prepaid,Delivered
997,1416.84,145.76,0.0,6.0,3.1,Dining Room,Table,Premium,False,Card,Prepaid,Failed Delivery
385,2030.0,0.0,0.0,8.0,1.3,Bedroom,Storage,Affordable,False,Card,Prepaid,Failed Delivery
1667,590.03,119.55,68.65,4.0,3.1,Office,Work,Premium,True,Card,Prepaid,Failed Delivery
174,2347.85,119.02,0.0,6.0,3.2,Bedroom,Storage,Affordable,False,Digital Wallet,Prepaid,Delivered
508,1020.3,56.15,94.36,13.0,1.0,Kitchen,Storage,Premium,True,Card,Prepaid,Failed Delivery
1764,710.41,0.0,82.74,13.0,1.2,Outdoor,Patio furniture,Mid Range,True,Cash,Postpaid,Failed Delivery
540,906.31,137.43,96.24,1.0,3.0,Outdoor,Patio furniture,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
1069,579.63,117.53,0.0,1.0,4.8,Bedroom,Sleeping,Premium,False,Digital Wallet,Prepaid,On Going
1845,140.42,97.59,43.94,14.0,2.1,Dining Room,Seating,Affordable,True,Card,Prepaid,On Going
1323,496.28,89.39,0.0,14.0,1.9,Office,Work,Affordable,False,Digital Wallet,Prepaid,On Going
825,523.06,73.85,0.0,3.0,2.1,Outdoor,Table,Premium,False,Cash,Postpaid,Failed Delivery
1676,1702.38,82.06,41.98,14.0,4.5,Outdoor,Table,Affordable,True,Bank Transfer,Prepaid,Failed Delivery
0,191.27,45.63,86.82,11.0,3.2,Outdoor,Patio furniture,Mid Range,True,Card,Prepaid,Failed Delivery
1662,447.77,98.43,284.88,13.0,2.3,Kitchen,Table,Affordable,True,Bank Transfer,Prepaid,On Going
1385,430.62,40.83,0.0,4.0,2.2,Kitchen,Table,Premium,False,Digital Wallet,Prepaid,Failed Delivery
467,1425.81,68.41,44.14,7.0,2.2,Living Room,Seating,Affordable,True,Bank Transfer,Prepaid,Failed Delivery
989,1751.21,0.0,93.56,11.0,3.1,Dining Room,Seating,Mid Range,True,Card,Prepaid,Failed Delivery
1912,468.89,82.6,294.6,3.0,1.5,Dining Room,Seating,Mid Range,True,Cash,Postpaid,On Going
1543,1200.72,135.94,0.0,8.0,2.7,Living Room,Seating,Affordable,False,Card,Prepaid,Failed Delivery
1904,1882.88,0.0,0.0,14.0,3.1,Dining Room,Table,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
960,771.26,115.9,0.0,3.0,3.4,Outdoor,Seating,Mid Range,False,Digital Wallet,Prepaid,Delivered
1111,1050.51,100.31,0.0,2.0,4.8,Kitchen,Table,Premium,False,Digital Wallet,Prepaid,On Going
1077,2321.31,143.23,0.0,1.0,3.1,Kitchen,Table,Affordable,False,Card,Prepaid,On Going
1852,1909.02,0.0,0.0,3.0,4.9,Dining Room,Storage,Mid Range,False,Card,Prepaid,Failed Delivery
577,1352.2,133.55,60.39,8.0,3.1,Outdoor,Seating,Affordable,True,Digital Wallet,Prepaid,On Going
1935,726.73,0.0,58.77,11.0,3.1,Office,Work,Mid Range,True,Cash,Postpaid,On Going
240,1057.05,0.0,177.51,14.0,3.2,Outdoor,Seating,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
347,1774.64,110.9,139.79,6.0,2.8,Dining Room,Storage,Premium,True,Digital Wallet,Prepaid,On Going
